code,treatment,gender,educ,employ1,ethn,entity,age,bosniak,croat,serb,largest_majority,time_usage,freq_usage,act_1,act_2,act_3,act_4,act_5,act_6,act_7,act_8,othersm_1,othersm_2,othersm_3,othersm_4,othersm_5,news,freq_news,politics_int,numb_forums,trust_media.1,imp_family,imp_career,imp_relg,imp_neigh,imp_ethn,imp_hobby,imp_cntry,serbian.4,bosniak.4,croatian.4,matched_percentage.4,percentage_bosniak.4,percentage_serbian.4,percentage_croatian.4,largest_majority_online_4,bosniak.3,serbian.3,croatian.3,matched_percentage.3,percentage_bosniak.3,percentage_serbian.3,percentage_croatian.3,largest_majority_online,time_online,fractionalization_offline_index,shannon_offline,activ,happiness,satisf,depression,loneliness,nerv,boredom,joy,isol,fulf,no_friends,happier,freq_fbnews,fbnews_st1,fbnews_st2,fbnews_st3,fbnews_st4,fbnews_st5,fbnews_st6,fbnews_st7,fbnews_st8,outfeel_therm,infeel_therm,trust_pol,trust_inst,trust_media,trust_police,trust_ngo,trust_relg,sd,agr_st1,agr_st2,agr_st3,agr_st4,trust_gov,agr_st5,agr_st6,agr_st7,agr_st8,agr_st9,agr_st10,agr_st11,agr_st12,agr_st13,agr_st14,agr_st15,oth_honest,oth_patriot,oth_broadv,oth_gener,oth_hyp,oth_self,oth_unreliab,oth_intel,oth_evil,in_honest,in_patriot,in_evil,in_broadv,in_gener,in_hyp,in_self,in_unreliab,in_intel,donation
182,0,1,3,0,2,2,21,0.66763052,0.20304772,0.0416,66.764,4,4,2,3,2,4,1,3,2,4,5,0,5,0,0,"Online website stranice,Facebook",5,1,1,2,4,4,4,2,3,2,4,17,1054,26,78.78989362,88.94514768,1.434599156,2.194092827,88.94514768,1062.166667,60.16666667,61.16666667,78.69015957,89.74792283,5.083791015,5.168286157,89.74792283,588,0.511310552,0.725731858,"4,5",-4,4,3,3,2,4,4,2,4,4,4,3,-1,1,0,1,0,0,1,1,50,100,2,3,2,4,5,5,6,-3,-3,-3,-3,5,4,0,7,-3,-3,-3,-3,0,0,3,3,0,-4,0,-4,0,-2,0,-2,0,4,-4,-4,4,0,0,0,-4,4,"Sarajevo,Zenica,Doboj,Tuzla,Banja Luka,Bijeljina,Prijedor,Tomislavgrad,Livno,Druga lokacija"
183,1,2,5,1,2,2,26,0.66763052,0.20304772,0.0416,66.764,4,4,1,1,1,1,3,2,1,2,5,1,4,0,0,Online website stranice,4,2,2,1,4,3,2,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.511310552,0.725731858,"4,5",-4,5,2,2,3,2,4,2,4,3,-4,1,1,1,0,1,0,0,0,1,56,70,3,2,1,2,2,2,7,-3,-3,-3,-3,1,5,-1,2,-2,3,3,-1,-2,-1,-2,3,0,-2,1,-1,-3,-2,2,-4,0,2,0,-2,1,3,3,-3,-3,3,"Sarajevo,Zenica,Svejedno"
184,0,2,3,1,1,1,43,0.66763052,0.20304772,0.0416,66.764,3,4,2,2,2,3,3,1,2,2,3,0,0,0,0,"Online website stranice,Facebook",1,1,1,1,4,2,2,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,507,0.511310552,0.725731858,"4,6",-3,4,2,1,3,2,4,2,4,4,0,2,1,0,0,1,0,1,1,1,60,70,2,2,1,2,2,2,7,-3,-3,-3,2,1,6,3,7,2,3,2,-3,-2,-3,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sarajevo
185,0,1,4,1,1,1,34,0.66763052,0.20304772,0.0416,66.764,4,4,2,2,2,2,3,2,2,2,1,0,2,0,0,Online website stranice,5,2,1,1,4,3,2,2,1,2,3,1,285,12,83.37730871,90.18987342,0.316455696,3.797468354,90.18987342,287,9.5,19,83.24538259,90.96671949,3.011093502,6.022187005,90.96671949,632,0.511310552,0.725731858,"3,4",-3,4,1,1,2,3,4,1,5,3,4,2,0,1,1,1,-1,1,1,1,86,97,2,1,2,1,1,2,7,-3,-3,-3,-3,4,2,0,7,-3,3,3,-2,-3,-3,3,3,-4,-2,-1,-4,-2,4,4,-4,4,-3,-4,4,4,-4,-1,4,4,-3,"Sarajevo,Zenica,Tuzla"
186,0,2,2,1,1,1,37,0.66763052,0.20304772,0.0416,66.764,4,4,2,2,2,3,3,2,2,3,4,0,4,0,0,"Online website stranice,Facebook",5,1,1,1,4,3,2,2,0,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,385,0.511310552,0.725731858,4,-4,4,2,3,2,3,4,1,4,4,1,1,0,0,0,0,0,0,0,0,50,20,1,1,0,1,2,2,5,-3,-3,-3,-1,2,1,0,4,0,2,2,-3,-3,-3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Banja Luka
187,0,2,5,1,1,1,43,0.66763052,0.20304772,0.0416,66.764,4,4,0,1,2,4,4,0,1,2,5,0,1,0,0,"TV,Facebook",1,0,1,1,4,4,1,2,0,3,2,3,354,6,34.94423792,94.14893617,0.79787234,1.595744681,94.14893617,357.1666667,7.666666667,10.16666667,34.85130112,95.24444444,2.044444444,2.711111111,95.24444444,243,0.511310552,0.725731858,1,-4,5,1,1,1,1,4,1,1,2,4,2,-1,-1,1,1,0,0,1,1,0,100,2,3,2,5,3,4,6,-3,-2,-2,-2,5,7,3,1,2,3,3,0,-1,-3,0,3,0,-2,0,1,0,-4,0,-3,0,0,-4,0,4,-4,0,-4,0,-2,"Sarajevo,Zenica,Tuzla"
188,1,2,4,1,3,1,27,0.66763052,0.20304772,0.0416,66.764,2,2,1,1,2,3,4,1,3,2,5,2,2,0,0,"TV,Novine (print),Online website stranice",4,2,1,1,4,3,1,1,3,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.511310552,0.725731858,"4,5",2,4,2,2,2,1,4,1,3,1,-1,1,1,1,1,1,1,1,1,1,80,50,1,2,1,2,3,1,7,-3,-3,-3,1,3,7,-3,7,1,3,3,-2,-2,-3,-3,3,-2,-4,-3,-3,2,2,2,-4,1,1,-4,1,1,1,-2,1,-2,1,Svejedno
189,1,1,2,0,2,2,24,0.66763052,0.20304772,0.0416,66.764,4,1,0,0,0,1,2,0,0,2,5,4,5,0,0,"TV,Online website stranice",5,1,1,1,4,4,4,2,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.511310552,0.725731858,"1,6",0,4,1,1,1,3,4,2,3,0,-2,1,1,1,0,1,0,0,0,1,85,100,2,2,1,5,3,2,4,3,-2,-3,-2,3,4,-1,3,-2,3,2,0,0,0,1,2,0,-3,-1,-2,0,-3,1,-2,-1,-2,-3,0,-2,-2,0,0,2,-2,"Sarajevo,Svejedno"
190,0,1,4,0,1,1,49,0.66763052,0.20304772,0.0416,66.764,4,4,2,2,2,4,2,3,4,4,4,4,4,0,0,"TV,Novine (print),Online website stranice,Facebook",5,3,2,2,4,4,2,4,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,469,0.511310552,0.725731858,5,0,4,2,2,3,2,4,1,3,3,0,2,0,1,0,1,1,0,0,1,50,75,1,2,0,3,5,2,1,-3,0,-1,3,0,4,3,4,3,3,3,-3,-3,0,-3,0,4,4,0,0,0,0,-4,0,0,0,4,4,0,4,0,0,-4,0,"Sarajevo,Zenica,Tuzla,Druga lokacija"
191,1,2,5,1,0,1,33,0.66763052,0.20304772,0.0416,66.764,4,4,3,3,3,4,1,4,4,4,5,0,5,0,0,"TV,Online website stranice,Facebook",5,2,1,2,4,4,3,3,3,3,2,3,217,15,83.28173375,80.66914498,1.115241636,5.576208178,80.66914498,218.8333333,19.33333333,29.83333333,82.97213622,81.65422886,7.213930348,11.1318408,81.65422886,0,0.511310552,0.725731858,"3,6",-2,2,4,4,5,4,2,5,1,3,4,3,0,0,0,1,0,0,0,1,60,80,1,1,2,1,1,1,5,-3,-3,-3,-3,1,4,3,7,0,3,3,-3,-3,1,-3,-3,0,0,0,0,0,0,0,0,0,4,4,-4,4,4,-4,-4,4,4,Sarajevo
